Model, Scenario, Algorithm, Iteration, State, NumberOfParameters,TotalPossibleCombinations,NumberOfFaults,Overlap,SafeValue,Strength,ClassFScore,ClassPrecision,ClassRecall,ExecutionTime,FScore,NumInvalidTests,NumMultipleFaults,NumberOfResults,NumberOfTestCases,NumberOfUniqueTestCases,PctInvalidTests,PctMultipleFaults,Precision,Recall
Random2,S2,IDD,0,COMPLETED,8,1024,2,2,0,4,1,1,1,517,0.8,58,0,3,153,153,0.379084967,0,0.666666667,1
Random2,S2,Ben,0,COMPLETED,8,1024,2,2,0,4,1,1,1,577,1,71,0,2,187,187,0.379679144,0,1,1
Random2,S2,Ict,0,COMPLETED,8,1024,2,2,0,4,1,1,1,3845,1,48,0,2,126,126,0.380952381,0,1,1
Random2,S2,Ipog,0,COMPLETED,8,1024,2,2,0,4,0.153846154,1,0.083333333,525,0,51,0,8,125,125,0.408,0,0,0
Random3,S3,Aifl,0,COMPLETED,7,960,2,2,0,4,0.975609756,0.952380952,1,526,0.020725389,94,0,191,283,283,0.332155477,0,0.010471204,1
Random3,S3,IterAifl,0,COMPLETED,7,960,2,2,0,4,1,1,1,562,0.021276596,196,0,186,615,615,0.318699187,0,0.010752688,1
Random3,S3,FIC,0,COMPLETED,7,960,2,2,0,4,0.727272727,0.571428571,1,521,0.666666667,98,0,4,324,279,0.302469136,0,0.5,1
Random3,S3,Csp,0,COMPLETED,7,960,2,2,0,4,1,1,1,3027,1,53,0,2,156,156,0.33974359,0,1,1
Random3,S3,FIC_BS,0,COMPLETED,7,960,2,2,0,4,0.727272727,0.571428571,1,504,0.666666667,111,0,4,387,307,0.286821705,0,0.5,1
Random3,S3,Ala,0,TIME_OUT,7,960,2,2,0,4,,,,,,,,,,,,,,
Random3,S3,IDD,0,COMPLETED,7,960,2,2,0,4,1,1,1,491,1,55,0,2,168,168,0.327380952,0,1,1
Random3,S3,Ben,0,COMPLETED,7,960,2,2,0,4,0.451977401,0.291970803,1,523,0.025806452,54,0,153,166,166,0.325301205,0,0.013071895,1
Random3,S3,Ict,0,COMPLETED,7,960,2,2,0,4,0,1,0,673,0,5,0,0,21,21,0.238095238,0,1,0
Random3,S3,Ipog,0,COMPLETED,7,960,2,2,0,4,0.232044199,1,0.13125,477,0,53,0,21,156,156,0.33974359,0,0,0
Random3,S4,Aifl,0,COMPLETED,7,960,3,0,0,3,0.873634945,0.775623269,1,481,0.004195804,124,45,1427,337,337,0.367952522,0.133531157,0.002102313,1
Random3,S4,IterAifl,0,COMPLETED,7,960,3,0,0,3,1,1,1,535,0.004594181,295,80,1303,904,904,0.326327434,0.088495575,0.002302379,1
Random3,S4,FIC,0,COMPLETED,7,960,3,0,0,3,0.736842105,0.583333333,1,488,0.545454545,191,67,8,529,411,0.361058601,0.126654064,0.375,1
Random3,S4,Csp,0,COMPLETED,7,960,3,0,0,3,0.736842105,0.583333333,1,1146,0,23,7,2,62,62,0.370967742,0.112903226,0,0
Random3,S4,FIC_BS,0,COMPLETED,7,960,3,0,0,3,0.736842105,0.583333333,1,462,0.545454545,111,8,8,349,276,0.318051576,0.022922636,0.375,1
Random3,S4,Ala,0,TIME_OUT,7,960,3,0,0,3,,,,,,,,,,,,,,
Random3,S4,IDD,0,COMPLETED,7,960,3,0,0,3,0.823529412,0.7,1,445,0.333333333,24,8,3,69,69,0.347826087,0.115942029,0.333333333,0.333333333
Random3,S4,Ben,0,COMPLETED,7,960,3,0,0,3,0.745672437,0.59447983,1,520,0.014888337,26,8,400,71,71,0.366197183,0.112676056,0.0075,1
Random3,S4,Ict,0,COMPLETED,7,960,3,0,0,3,0.727272727,1,0.571428571,485,0.5,17,3,1,31,31,0.548387097,0.096774194,1,0.333333333
Random3,S4,Ipog,0,COMPLETED,7,960,3,0,0,3,0.151815182,1,0.082142857,426,0,23,7,46,62,62,0.370967742,0.112903226,0,0
Random3,S5,Aifl,0,COMPLETED,7,960,3,2,0,3,0.906040268,0.828220859,1,481,0.004201681,111,178,1425,314,314,0.353503185,0.566878981,0.002105263,1
Random3,S5,IterAifl,0,COMPLETED,7,960,3,2,0,3,1,1,1,535,0.004369993,307,300,1370,940,940,0.326595745,0.319148936,0.002189781,1
